,label
0,FAKE
1,FAKE
2,TRUE
3,TRUE
4,FAKE
5,FAKE
6,TRUE
7,TRUE
8,FAKE
9,FAKE
10,FAKE
11,TRUE
12,FAKE
13,TRUE
14,FAKE
15,TRUE
16,TRUE
17,TRUE
18,TRUE
19,TRUE
20,TRUE
21,FAKE
22,TRUE
23,TRUE
24,TRUE
25,TRUE
26,TRUE
27,TRUE
28,TRUE
29,TRUE
30,TRUE
31,FAKE
32,FAKE
33,FAKE
34,TRUE
35,TRUE
36,TRUE
37,FAKE
38,FAKE
39,TRUE
40,FAKE
41,FAKE
42,FAKE
43,FAKE
44,TRUE
45,TRUE
46,TRUE
47,FAKE
48,TRUE
49,FAKE
50,TRUE
51,TRUE
52,TRUE
53,TRUE
54,FAKE
55,TRUE
56,FAKE
57,TRUE
58,FAKE
59,FAKE
60,TRUE
61,FAKE
62,TRUE
63,FAKE
64,TRUE
65,FAKE
66,TRUE
67,TRUE
68,TRUE
69,TRUE
70,TRUE
71,TRUE
72,FAKE
73,FAKE
74,TRUE
75,TRUE
76,TRUE
77,FAKE
78,FAKE
79,FAKE
80,TRUE
81,TRUE
82,FAKE
83,TRUE
84,TRUE
85,FAKE
86,TRUE
87,TRUE
88,TRUE
89,TRUE
90,FAKE
91,TRUE
92,FAKE
93,TRUE
94,TRUE
95,FAKE
96,FAKE
97,TRUE
98,FAKE
99,FAKE
100,FAKE
101,TRUE
102,TRUE
103,FAKE
104,TRUE
105,TRUE
106,FAKE
107,FAKE
108,FAKE
109,FAKE
110,FAKE
111,FAKE
112,FAKE
113,FAKE
114,FAKE
115,FAKE
116,FAKE
117,FAKE
118,TRUE
119,FAKE
120,TRUE
121,FAKE
122,TRUE
123,TRUE
124,FAKE
125,TRUE
126,TRUE
127,TRUE
128,FAKE
129,FAKE
130,TRUE
131,TRUE
132,FAKE
133,FAKE
134,FAKE
135,FAKE
136,FAKE
137,TRUE
138,TRUE
139,FAKE
140,TRUE
141,FAKE
142,FAKE
143,TRUE
144,FAKE
145,TRUE
146,TRUE
147,TRUE
148,TRUE
149,TRUE
150,TRUE
151,FAKE
152,FAKE
153,FAKE
154,FAKE
155,FAKE
156,FAKE
157,TRUE
158,TRUE
159,FAKE
160,FAKE
161,TRUE
162,TRUE
163,FAKE
164,TRUE
165,TRUE
166,FAKE
167,FAKE
168,TRUE
169,FAKE
170,TRUE
171,TRUE
172,TRUE
173,FAKE
174,TRUE
175,FAKE
176,TRUE
177,TRUE
178,FAKE
179,FAKE
180,FAKE
181,FAKE
182,TRUE
183,TRUE
184,FAKE
185,TRUE
186,TRUE
187,TRUE
188,FAKE
189,TRUE
190,FAKE
191,TRUE
192,FAKE
193,TRUE
194,TRUE
195,TRUE
196,FAKE
197,TRUE
198,TRUE
199,FAKE
200,TRUE
201,FAKE
202,FAKE
203,FAKE
204,FAKE
205,TRUE
206,TRUE
207,FAKE
208,TRUE
209,TRUE
210,TRUE
211,FAKE
212,TRUE
213,TRUE
214,TRUE
215,FAKE
216,FAKE
217,FAKE
218,FAKE
219,FAKE
220,TRUE
221,FAKE
222,FAKE
223,TRUE
224,FAKE
225,TRUE
226,FAKE
227,FAKE
228,FAKE
229,FAKE
230,FAKE
231,TRUE
232,TRUE
233,TRUE
